2728.73-0	2606.99-1	2634.7-2	2642.22-3	2629.76-4
1.0	1.0	1.0	1.0	1.0
280.0	280.0	280.0	2.0	2.0
3.0	3.0	3.0	242.0	280.0
279.0	279.0	279.0	243.0	3.0
278.0	278.0	278.0	241.0	279.0
277.0	248.0	248.0	244.0	278.0
4.0	249.0	249.0	247.0	4.0
5.0	256.0	256.0	245.0	277.0
6.0	255.0	255.0	240.0	276.0
7.0	252.0	252.0	239.0	275.0
8.0	253.0	253.0	246.0	274.0
10.0	254.0	254.0	231.0	273.0
11.0	257.0	257.0	238.0	272.0
9.0	258.0	258.0	237.0	271.0
276.0	259.0	259.0	232.0	16.0
275.0	260.0	260.0	233.0	17.0
274.0	261.0	261.0	236.0	18.0
273.0	262.0	262.0	235.0	19.0
272.0	263.0	263.0	234.0	132.0
271.0	264.0	264.0	227.0	133.0
16.0	265.0	265.0	226.0	134.0
15.0	266.0	266.0	225.0	270.0
12.0	138.0	267.0	224.0	269.0
13.0	137.0	268.0	223.0	135.0
14.0	267.0	269.0	222.0	136.0
24.0	268.0	270.0	221.0	268.0
23.0	136.0	134.0	220.0	267.0
25.0	135.0	135.0	219.0	137.0
22.0	269.0	136.0	218.0	138.0
26.0	270.0	137.0	217.0	139.0
27.0	134.0	138.0	216.0	149.0
28.0	133.0	139.0	215.0	148.0
29.0	132.0	140.0	214.0	147.0
30.0	131.0	141.0	213.0	146.0
31.0	130.0	148.0	212.0	145.0
32.0	21.0	149.0	207.0	144.0
33.0	20.0	150.0	206.0	143.0
34.0	19.0	179.0	205.0	142.0
36.0	18.0	180.0	204.0	141.0
35.0	17.0	181.0	203.0	140.0
39.0	16.0	176.0	202.0	266.0
38.0	271.0	177.0	201.0	265.0
37.0	272.0	178.0	200.0	264.0
50.0	273.0	151.0	144.0	263.0
51.0	274.0	152.0	143.0	262.0
52.0	275.0	156.0	146.0	261.0
49.0	276.0	153.0	145.0	260.0
48.0	277.0	155.0	199.0	259.0
53.0	4.0	154.0	198.0	258.0
54.0	5.0	126.0	197.0	257.0
55.0	6.0	127.0	196.0	254.0
56.0	7.0	128.0	195.0	255.0
45.0	9.0	129.0	194.0	256.0
46.0	8.0	130.0	193.0	249.0
47.0	10.0	21.0	192.0	248.0
40.0	11.0	20.0	191.0	244.0
41.0	12.0	131.0	190.0	243.0
42.0	15.0	132.0	189.0	242.0
43.0	13.0	133.0	188.0	241.0
60.0	14.0	19.0	187.0	240.0
61.0	24.0	18.0	186.0	239.0
62.0	23.0	17.0	185.0	238.0
118.0	25.0	16.0	184.0	237.0
117.0	22.0	271.0	183.0	236.0
115.0	26.0	272.0	182.0	235.0
116.0	27.0	273.0	162.0	234.0
86.0	28.0	274.0	163.0	233.0
85.0	29.0	275.0	164.0	232.0
65.0	31.0	276.0	165.0	231.0
66.0	32.0	277.0	166.0	246.0
64.0	33.0	4.0	167.0	245.0
63.0	34.0	5.0	168.0	247.0
59.0	35.0	6.0	172.0	250.0
44.0	36.0	7.0	171.0	251.0
57.0	37.0	9.0	170.0	230.0
58.0	50.0	8.0	169.0	229.0
68.0	51.0	10.0	103.0	228.0
69.0	52.0	11.0	102.0	227.0
67.0	53.0	12.0	101.0	226.0
70.0	54.0	15.0	100.0	225.0
71.0	55.0	13.0	99.0	224.0
72.0	56.0	14.0	98.0	223.0
73.0	57.0	24.0	97.0	222.0
74.0	58.0	23.0	96.0	221.0
75.0	59.0	25.0	95.0	220.0
76.0	44.0	22.0	94.0	219.0
82.0	45.0	26.0	93.0	218.0
83.0	46.0	27.0	92.0	217.0
84.0	47.0	28.0	91.0	216.0
87.0	48.0	29.0	90.0	215.0
88.0	49.0	31.0	109.0	214.0
112.0	38.0	32.0	89.0	213.0
113.0	39.0	33.0	81.0	212.0
114.0	40.0	34.0	80.0	211.0
111.0	41.0	30.0	79.0	210.0
110.0	42.0	125.0	78.0	209.0
108.0	43.0	124.0	77.0	252.0
107.0	60.0	123.0	75.0	253.0
174.0	61.0	122.0	76.0	208.0
173.0	118.0	121.0	74.0	207.0
106.0	62.0	120.0	73.0	206.0
105.0	63.0	119.0	72.0	205.0
104.0	64.0	157.0	71.0	204.0
103.0	65.0	158.0	70.0	203.0
102.0	66.0	159.0	69.0	202.0
92.0	67.0	160.0	68.0	201.0
91.0	68.0	175.0	67.0	200.0
90.0	69.0	174.0	66.0	199.0
109.0	70.0	173.0	65.0	198.0
89.0	71.0	107.0	64.0	197.0
81.0	72.0	106.0	63.0	196.0
80.0	73.0	105.0	62.0	195.0
79.0	74.0	104.0	59.0	194.0
77.0	75.0	103.0	58.0	193.0
78.0	76.0	92.0	57.0	192.0
95.0	77.0	91.0	44.0	191.0
96.0	78.0	90.0	45.0	190.0
97.0	79.0	80.0	56.0	189.0
94.0	80.0	79.0	55.0	188.0
93.0	94.0	81.0	46.0	165.0
98.0	95.0	82.0	47.0	164.0
99.0	96.0	89.0	48.0	163.0
100.0	97.0	109.0	54.0	187.0
101.0	98.0	108.0	53.0	186.0
169.0	93.0	110.0	52.0	185.0
170.0	92.0	111.0	51.0	184.0
172.0	91.0	112.0	50.0	183.0
171.0	90.0	88.0	49.0	182.0
168.0	89.0	87.0	38.0	181.0
167.0	81.0	83.0	37.0	176.0
166.0	82.0	84.0	36.0	180.0
